nct_id,brief_title,why_stopped,termination_category,brief_summary,detailed_description,phase,medical_field,medical_subfield,field_source
NCT02075021,Phase I/II Trial of the Combination of Lenalidomide (Revlimid) and Nab-paclitaxel (Abraxane) in the Treatment of Relapsed/Refractory Multiple Myeloma,PI left the institution,Other/Unclear,"The investigators will perform a phase I/II trial of Revlimid daily for 21 days and Abraxane weekly for 3 weeks. Accrual will be on standard cohorts of 3 patients. Once the maximum toxicity dose (MTD) is reached, the level below will be expanded to 25 patients for a pilot phase II trial. All treatments will be performed until progression. Assessments will be made at least at the 2, 4 and 6 month timepoints and monthly thereafter until progression.~The purpose of this research study is to determine how much of the combination of Revlimid and Abraxane can be given safely and how well they work together against the cancer.~Currently, this trial is in the phase 1 stage.","Revlimid is an important imid based therapy of myeloma. However patients will still relapse after this drug and then have limited options. Abraxane has shown efficacy in a number of cancers, putatively through intratumor concentration by SPARC (secreted protein acidic and rich in cysteine). (Taxanes have shown a modest activity in myeloma. Interestingly, Revlimid can upregulate the levels of SPARC. Thus, investigators will test the toxicity and efficacy of a combination of Revlimid and Abraxane in relapsed/refractory myeloma.~Investigators will perform a phase I/II trial of Revlimid daily for 21 days and Abraxane weekly for 3 weeks in patients who have failed Revlimid but have adequate blood counts and renal function and minimal neuropathy. For study purposes, 1 cycle is considered to be 4 weeks (20 days). Subjects will get Abraxane for three weeks and will be off of this treatment for 1 week. There are 10 visits per cycle. Accrual will be on standard 3 patient cohorts. Once the maximum tolerated dose is reached, the level below will be expanded to 25 patients for a pilot phase II trial. All treatments will be performed until progression. Assessments will be made at least at the 2, 4, and 6 month timepoints and monthly thereafter until progression.~Since both drugs can cause myelosuppression, investigators will start with doses below their standard doses as single agents. Investigators will use 100 mg/m2 of Abraxane weekly for 3 weeks and 10 mg Revlimid daily for 21 days, with a dose escalation for Revlimid to 15 mg and to 25 mg. Dose de-escalations will also be performed for both drugs as necessary. Investigators will explore whether SPARC (secreted protein acidic and rich in cysteine) expression is altered by flow cytometry and immunohistochemistry.",PHASE1/PHASE2,Oncology,Other cancer,MeSH
NCT00793650,Combination High Dose Melphalan and Autologous Peripheral Blood Stem Cell (PBSC) Transplant With Bortezomib for Multiple Myeloma: A Dose and Schedule Finding Study,,Unknown,"The goal of this study is to evaluate the safety of melphalan and autologous PBSCT (peripheral blood stem cell transplantation - stem cells that come from your own body) in combination with bortezomib, a new FDA approved drug used to treat myeloma.",,PHASE1/PHASE2,Oncology,Other cancer,MeSH
NCT03670901,A Study to Compare the Efficacy and Safety of JHL1101 Versus Rituximab in Patients With Previously Untreated Diffuse Large B-Cell Lymphoma (DLBCL),The development was stopped due to company's strategy consideration,Other/Unclear,"Approximately 500 subjects will be enrolled in this study. Subjects who meet the inclusion criteria will be randomized (1:1) into two groups. The study group will receive JHL1101 in combination with CHOP regimen, and the control group will receive rituximab (MabThera) in combination with CHOP. The dose of 375 mg/m2 is given intravenously on Day 1 (D1) of each cycle, and CHOP regimen is administered after the infusion of JHL1101 or rituximab is completed. Efficacy evaluation will be performed at baseline, after 3 cycles treatment (D18± 2 of Cycle 3, before the next cycle of treatment) and after 6 cycles treatment (D21±3 of Cycle 6). Subjects evaluated as progressive disease (PD) should be withdrawn from the study treatment and their subsequent treatments will be determined by the investigator. The analysis of primary endpoint is the ORR over the 6-cycle treatment period.",,PHASE3,Oncology,lymphoma,MeSH
NCT00766870,Efficacy and Safety of Lu AA34893 in Patients With Major Depressive Disorder,Study was previously paused and is now terminated,Other/Unclear,"The purpose of the study is to evaluate the efficacy, safety and tolerability of three fixed dosages of Lu AA34893 compared to placebo in the treatment of patients with Major Depressive Disorder.","Major Depressive Disorder (MDD) is reported to be the most common mood disorder, with a lifetime prevalence of about 15% and as high as 25% in women. MDD is characterised by the presence of one or more Major Depressive Episodes (MDEs) that presents with depressed mood, loss of interest or pleasure, disturbed sleep or appetite, low energy, feelings of guilt or low self-worth, and poor concentration. MDD is a disabling, severe illness that tends to be chronic, and repeated episodes are common. Despite the availability of a range of effective treatments in MDD, a significant proportion of patients do not respond or achieve remission and many relapse despite continued treatment. Lu AA34893 has a novel mechanism of action and this could be of clinical relevance in addressing currently unmet needs in MDD.",PHASE2,Psychiatry,Psychiatry disorder,MeSH
NCT00162253,Study of BMS-587101 in Patients With Moderate to Severe Psoriasis,,Unknown,The purpose of this clinical research study is to learn if BMS-587101 is effective on the treatment of Moderate to Severe Psoriasis. The safety of this treatment will also be studied.,,PHASE2,Dermatology,Dermatology disorder,MeSH
NCT04326283,"Trial of Safety, Tolerability and Efficacy of Trametinib (SNR1611) in Patients With Amyotrophic Lateral Sclerosis (ALS)",Terminated as it is considered that necessary data have been collected,Other/Unclear,"The purpose of this study is to evaluate the safety, tolerability and efficacy of trametinib (SNR1611) in the treatment of amyotrophic lateral sclerosis.","Trametinib (SNR1611) is a MEK inhibitor that downregulates the MAPK/ERK pathway. In this study, the potential of MAPK/ERK pathway downregulation through trametinib (SNR1611) as a therapeutic treatment for amyotrophic lateral sclerosis (ALS) will be evaluated.",PHASE1/PHASE2,Neurology,Neurological disorder,MeSH
NCT00827671,Study of Combination of Cetuximab and Radiotherapy Added to the Standard Treatment for Oesophageal Adenocarcinoma,Experimental treatment not feasible due to high rate of drop out,Other/Unclear,The purpose of this study is to determine whether the addition of the combination between cetuximab and radiotherapy to the standard chemotherapy for resectable oesophageal cancer is safe and adds efficacy.,"This study aims at developing a novel strategy to optimize the treatment of oesophageal adenocarcinoma and gastro-oesophageal junctional tumors with curative intent. Surgery in combination with peri-operative chemotherapy, using the combination epirubicin, cisplatin and 5-FU, as defined by the recent MAGIC trial, results in 13% increase in 5-yr survival. To improve the outcome of patients with this disease we hypothesize that the addition of pre-operative combined cetuximab-radiotherapy (cetux-RT) treatment could improve the outcome of this patient category through better local control.",PHASE2,Oncology,Other cancer,Condition
NCT01521143,Cvac as Maintenance Treatment in Patients With Epithelial Ovarian Cancer in Complete Remission Following First-line Chemotherapy or Second-line Treatment,The study was terminated due to company restructuring and changes in drug development priorities.,Other/Unclear,"As \< 10% of the necessary patients required by the protocol were recruited and the data were not intended to support a labeling claim, it was determined that the abbreviated clinical study report (CSR) was the appropriate reporting format. No efficacy analyses were performed as the trial was terminated early with incomplete enrollment of \< 10%.~The purpose of this study is to determine if an investigational cell therapy called Cvac can help epithelial ovarian cancer (EOC) from returning when administered to patients who are in complete remission after surgical removal of their tumor followed by standard first-line (Part A) or second-line (Part B) chemotherapy. Following remission, patients will undergo leukapheresis for the manufacture of the study agent. After completion of chemotherapy and confirmation of remission, patients will enter the treatment phase of the study.","This study proposes a nontoxic immunotherapeutic approach to extend overall survival in patients in complete remission. Most patients with ovarian cancer achieve complete clinical remission after optimal debulking surgery and first-line platinum-based chemotherapy. However, most patients, despite high response rates to first-line treatment, will relapse and undergo subsequent chemotherapy. Generally, the progression-free interval between treatments becomes shorter with each relapse, and the patient eventually dies of the disease.~For production of Cvac, each patient's cells were enriched using cell separation techniques. The patient's cells were cultured for 5 days with granulocyte-macrophage colony-stimulating factor (GM-CSF) and interleukin-4 (IL-4) in AIM V® serum-free tissue culture medium (Thermo Fisher Scientific) to cultivate the growth of dendritic cells (DC). The culture was pulsed overnight with the antigen (mannosylated mucin 1 fusion protein \[M-FP\]) to arm the DCs to the specific mucin 1 antigen. After harvesting, the M-FP-pulsed DCs were formulated as a finished product (Cvac) in 1 mL aliquots, diluted in 5% human serum albumin (HSA) and 10% dimethyl sulfoxide (DMSO) at an approximate concentration of 60 × 10\^6 viable DCs/mL. The vials were cryopreserved and stored in the vapor phase of liquid nitrogen at the manufacturing facility.~Different participants were enrolled in the 2 parts of the study.~Part A~To be eligible for participation, patients were diagnosed with stage III or IV epithelial ovarian cancer, underwent optimal debulking surgery (≤ 1 cm of residual disease), underwent platinum and taxane chemotherapy, with or without bevacizumab, and had a tumor that overexpressed mucin 1, as well as met all other study inclusion and exclusion criteria at screening.~Patients who met all study inclusion and exclusion criteria were randomized in a 1:1 double-blinded fashion to either the Cvac (active) group or the placebo (control) group. After randomization, patients underwent mononuclear cell (MNC) collection for production of the study agent and then began first-line chemotherapy. After completion of chemotherapy and confirmation of complete clinical and radiological remission (Baseline), patients were entered into the treatment phase of the study.~A total of 76 patients were recruited and randomized at centers in Europe, North America, and Australia.~Part B~To be eligible for participation, patients had first-line platinum-based chemotherapy with a complete response lasting for at least 6 months prior to relapse and achieved second remission following standard platinum-based second-line chemotherapy with or without a second bulk-reducing surgery, and had a tumor that over-expressed mucin 1, as well as met all other study inclusion and exclusion criteria.~Patients who met all study inclusion and exclusion criteria were randomized in a 1:1 fashion to either the Cvac (active) group or the observational standard of care (control) group. After randomization, only patients randomized to Cvac underwent MNC collection for production of the study agent. After confirmation of no evidence of disease at the Baseline visit, patients were entered into the treatment phase of the study.~A total of 15 patients were recruited and randomized at centers in Europe.",PHASE2,Oncology,Other cancer,MeSH
NCT04529499,Clinical Trial Evaluating the Efficacy and Safety of Favipiravir in Moderate to Severe COVID-19 Patients,Study met pre-defined criteria for futility at interim analysis,Other/Unclear,"This is a prospective, interventional, multi-centre, phase III, randomized, double blind, placebo-controlled, parallel design trial to evaluate the efficacy, safety and tolerability of favipiravir as adjunct ('add on') to supportive care, in comparison to placebo with supportive care, in the acute treatment of patients who have tested positive for SARS-CoV-2 and presenting with moderate to severe COVID-19.~This study will be conducted in two parts; Stage I - Main study and Stage II - Extended Follow up.","Stage I - Main Study:~All the eligible patients will be randomized to receive either favipiravir + supportive care or placebo + supportive care. The treatment duration with the IMP will be for a period of 10 consecutive days. If the patient is discharged before Day 10, the patient will be required to continue the remainder of the treatment course of the assigned IMP at home. Patients in both the groups will receive supportive care, as appropriate. The duration of supportive care will be based upon Investigator's judgement and as per individual patient's requirement. The study data collection period will be up to 28 (+2) days.~Day 10 will be considered as the End of treatment (EOT) assessment.~1. If the patient remains in the hospital until Day 10, the EOT will be performed at the site and all the scheduled assessments for Day 10 will be performed~2. If the patient is discharged before Day 10, the EOT can be performed either as an onsite visit or will be performed at the patient's home :~   1. On-site visit: If the patient is able to visit the hospital on Day 10, procedures for an unscheduled visit will be performed.~      OR~  2. At home: If the patient is unable to visit the hospital for the EOT, study nurse or phlebotomist will visit the patient at his/her residence to collect blood sample for safety assessments. A telephonic follow up will be performed to enquire on treatment emergent AEs experienced, concomitant medication and COVID-19 associated symptom for assessment of clinical relapse.~Day 28 will be considered the end of study visit. If patient is discharged from the hospital before Day 28, the assessments mentioned in the end of study visit (Day 28) will be performed before the patient is discharged. After discharge, telephonic follow up will be performed on Day 10 (applicable only for patients who are discharged earlier than Day 10 and if patients are unable to visit the site for EOT on Day 10), Day 14, Day 21 and Day 28. The telephonic follow up will be as applicable for the individual patient, depending upon the actual day when (s)he is discharged. A 2-day window period is allowed for telephonic follow up.~In case the patient remains admitted in the hospital beyond Study Day 28, the end of study assessments will be performed for the patient on Day 28 (+2) days.~Stage I of the study will be completed when the 'Day 28' assessment is completed either as an in-patient assessment if the patient is still hospitalized, or as a telephonic follow up assessment if the patients are discharged earlier to Day 28.~Once all the patients complete the Stage I of the study, the database would be locked, and analysis will be performed.~Stage II - Extended Follow Up:~All the patients will be followed up for AEs or for 'clinical relapse' of COVID 19. Two telephonic follow up assessments will be performed on Day 42 and Day 60. An additional visit to the hospital (for further assessment) may be scheduled for such patients, if required.",PHASE3,Infectious Diseases,Infectious Diseases disorder,MeSH
NCT01214096,Clinical Trial to Evaluate the Efficacy and Safety of Recombinant Human Neuregulin-1 for Subcutaneous Administration in Patients With Chronic Systolic Heart Failure,The same protocol has been launched in United States.,Other/Unclear,Evaluate the Efficacy and Safety of Recombinant Human Neuregulin-1 for Subcutaneous Administration in Patients With Chronic Systolic Heart Failure,1. Subcutaneous Administration of NRG-1 is well tolerated by CHF patients~2. Subcutaneous Administration of NRG-1 improves the cardiac function of CHF patients~3. Assessment of relative bioavailability of NRG-1 by Subcutaneous Administration,PHASE3,Cardiology,Heart Failure,Condition
NCT02028910,Efficacy of Ondansetron on Vomiting Due to Acute Gastroenteritis in Pediatric During Winter,,Unknown,"Acute gastroenteritis is a common disease especially in children. With bronchiolitis and influenza, she participated widely in weight of winter epidemics that causes problems every year our health care system, particularly in the pediatric emergency and inpatient since they are the second leading cause of hospitalization in children. The main symptoms of viral acute gastroenteritis are diarrhea and vomiting which exposes children to the risk of sometimes severe dehydration, the most common cause of hospitalization. There is no specific treatment for these infections. At most, there is a vaccine against severe rotavirus diarrhea (Rotarix ® and RotaTeq ®), but does not yet official recommendations to use in France. The treatment of acute gastroenteritis virus is symptomatic and is generally based on the use of oral rehydration solutions (ORS) whose administration is limited by the frequent presence of vomiting. Until now, no treatment has demonstrated its effectiveness on vomiting due to acute gastroenteritis virus in children. Conventional anti-emetics, widely prescribed, are ineffective in practice, very few studies in this indication and encumbered side effects. Several drugs have long been used in children to fight against severe vomiting associated with the administration of anti-cancer chemotherapy, such as granisetron (Kytril ®) and ondansetron (Zofren ®). The mechanism of action of these molecules is well known. They act both on the enteric nervous system by blocking serotonin receptors. Several placebo-controlled trials suggest that ondansetron is effective in reducing the number of vomiting in children emergency consultant for acute gastroenteritis. However, the method used in these tests and the number of children enrolled has not yet demonstrated the efficacy of ondansetron on the number of admissions, the number of emergency and return the cost / benefit ratio of this treatment. In addition, several studies reported the occurrence of watery stools more frequently in children treated with the placebo group.~Evidence that ondansetron is well tolerated and effective for reducing the severity of vomiting during acute gastroenteritis pediatrics winter could support the use of this treatment in routine pediatric emergencies.~This study is a clinical trial, multicenter, controlled versus placebo whose main objective is to evaluate the efficacy of ondansetron to decrease the intensity of vomiting in children with acute gastroenteritis during winter emergencies Upon arrival to the emergency room after signing. Consent, an ECG is performed in eligible patients. Children meet all the criteria for inclusion and non-inclusion receive, at random, one of two treatments: ondansetron (active) or placebo. The study does not alter the usual care of the child to the emergency room. After passing emergency, patients will be followed in the study for 8 days, through a phone call home to J3 and J7. The total duration of patient participation in the study is 8 days, including 4 hours emergencies (usual transit time to emergencies).","Acute gastroenteritis is a common disease especially in children. With bronchiolitis and influenza, she participated widely in weight of winter epidemics that causes problems every year our health care system, particularly in the pediatric emergency and inpatient since they are the second leading cause of hospitalization in children. The main symptoms of viral acute gastroenteritis are diarrhea and vomiting which exposes children to the risk of sometimes severe dehydration, the most common cause of hospitalization. There is no specific treatment for these infections. At most, there is a vaccine against severe rotavirus diarrhea (Rotarix ® and RotaTeq ®), but does not yet official recommendations to use in France. The treatment of acute gastroenteritis virus is symptomatic and is generally based on the use of oral rehydration solutions (ORS) whose administration is limited by the frequent presence of vomiting. Until now, no treatment has demonstrated its effectiveness on vomiting due to acute gastroenteritis virus in children. Conventional anti-emetics, widely prescribed, are ineffective in practice, very few studies in this indication and encumbered side effects. Several drugs have long been used in children to fight against severe vomiting associated with the administration of anti-cancer chemotherapy, such as granisetron (Kytril ®) and ondansetron (Zofren ®). The mechanism of action of these molecules is well known. They act both on the enteric nervous system by blocking serotonin receptors. Several placebo-controlled trials suggest that ondansetron is effective in reducing the number of vomiting in children emergency consultant for acute gastroenteritis. However, the method used in these tests and the number of children enrolled has not yet demonstrated the efficacy of ondansetron on the number of admissions, the number of emergency and return the cost / benefit ratio of this treatment. In addition, several studies reported the occurrence of watery stools more frequently in children treated with the placebo group.~Evidence that ondansetron is well tolerated and effective for reducing the severity of vomiting during acute gastroenteritis pediatrics winter could support the use of this treatment in routine pediatric emergencies.~This study is a clinical trial, multicenter, controlled versus placebo whose main objective is to evaluate the efficacy of ondansetron to decrease the intensity of vomiting in children with acute gastroenteritis during winter emergencies Upon arrival to the emergency room after signing. Consent, an ECG is performed in eligible patients. Children meet all the criteria for inclusion and non-inclusion receive, at random, one of two treatments: ondansetron (active) or placebo. The study does not alter the usual care of the child to the emergency room. After passing emergency, patients will be followed in the study for 8 days, through a phone call home to J3 and J7. The total duration of patient participation in the study is 8 days, including 4 hours emergencies (usual transit time to emergencies).~Outside the study drug administration, it will be in the framework of the research:~* An electrocardiogram inclusion~* A stool specimen~* A fill two questionnaires, one of which during the passage of emergency and the other during two phone calls within 7 days after the departure of emergencies.~This will be done in addition to the balance necessary to support the patient.",PHASE3,Gastroenterology,Gastroenterology disorder,MeSH
NCT02990143,The Effectiveness of Ologen® Collagen Matrix in Preventing Intraocular Pressure (IOP) Spikes After Ahmed Glaucoma Valve Surgery (AGV-FP7),Investigator left the Institution,Other/Unclear,"The purpose of this study is to investigate whether placing Ologen over the posterior plate of the Ahmed glaucoma drainage device during initial implantation will allow the formation of a thinner capsule, and decrease the incidence and/or the extent of IOP elevation during the postoperative period.","Uncontrolled glaucoma may require surgical intervention. Glaucoma drainage implants such as AGV-FP7 are in wide use upon glaucoma and comprehensive surgeons. The success of aqueous shunt surgery depends on the formation and maintenance of a thin permeable capsule around the posterior plate of the aqueous shunt. Encapsulated bleb formation, where the capsule is thick and elevated, is a common cause of drainage failure in the early post-operative period. This finding is usually accompanied by elevated intraocular pressure (IOP), which requires additional intervention, often surgical and therefore reduces the success rate of the initial surgery.~Recently, a biodegradable porous collagen-glycosaminoglycan copolymer matrix implant (Ologen), has become available for glaucoma surgery. This device is constructed so as to minimize random growth of fibroblasts and instead to allow them to grow through the pores in the matrix. Ologen® CM,a biodegradable scaffold matrix, induces a regenerative non-scarring wound healing process without using anti-fibrotic agents.~This study is to investigate whether placing Ologen over the posterior plate of the Ahmed glaucoma drainage device during initial implantation will allow the formation of a thinner capsule, and decrease the incidence and/or the extent of IOP elevation during the postoperative period.",PHASE2,Ophthalmology,Ophthalmology disorder,MeSH
NCT03033316,A Evaluation of the Safety of Oncocort IV Pegylated Liposomal Dexamethasone Phosphate in Patients With Progressive Multiple Myeloma,Patient enrolment issues,Other/Unclear,"Oncocort Dexamethasone sodium phosphate encapsulated in so-called 'long-circulating' PEGylated liposomes is in development with the prospect of providing enhanced and prolonged lesion uptake of dexamethasone and therefore increased therapeutic benefit over existing formulations of dexamethasone in Multiple Myeloma. The current trial is a first-in-man study with Oncocort monotherapy with the objective to assess safety, tolerability, efficacy and dose response after short-term treatment with repeated infusions.","This open label multicenter study will evaluate the safety and efficacy of I.V. Oncocort Dexamethasone sodium phosphate given as a short term induction therapy in Multiple Myeloma patients. It consist of a Phase 1 part with a maximum number of 5 ascending dose levels while additional patients will be treated in the Phase 2a part with the recommended phase 2 dose to obtain additional safety data and preliminary efficacy data in multiple myeloma patients. For the dose escalation phase 1 part, 3 patients per dose level will be enrolled. If one patient reaches DLT, another 3 patients will be enrolled in the same dose level. If two or more patients reach DLT in one dose level, maximum tolerated dose (MTD) is defined at the last dose level beneath DLT. Not more than 5 dose level groups are anticipated for this part of the study. MTD will be the Recommended Phase II Dose (RPTD) for the phase IIa part of the study. For the phase 2a part, 7 additional patients will be enrolled at the RPTD dose level, bringing the total number of patients monitored for responses at this dose level to at least 10.",PHASE1/PHASE2,Oncology,Other cancer,MeSH
NCT01438112,Efficacy Study of Recombinant Adenovirus for Non Muscle Invasive Bladder Cancer,Change in study design,Other/Unclear,The use of a designed viral vector that can destroy cancer cells while leaving normal cells largely unharmed. The virus also stimulates an immunological response by producing a special factor (GM-CSF) to attract and promote the development of dendritic and T effector cells. It forms the hypothesis that this regimen may be used for people who have failed current forms of treatment and are recommended for cystectomy. It is with hope that this novel therapy will be able to delay or potentially avoid cystectomy for this patient population. Bladder instillation of this agent causes little long lasting side effects and may drastically improve the stimulation of the immune system for local cancer cell death as well as destroying those tumor cells that may have travelled to regional lymph nodes or distant organs.,"After the phase I/II CG0070 trial review, it became apparent that the use of CG0070 oncolytic vaccine as an intravesical agent for oncolytic lysis of tumor cells, together with the transcription of GM-CSF on site, may have distinct advantages. This first study showed excellent tumor response rates of 48-77% depending on the dose schedule administered. All of these patients had residual non-muscle invasive bladder cancer who have previously failed BCG therapy at the time of treatment.~With the addition of a transduction agent such as DDM, the intravesical instillation of CG0070 enabled uniform distribution of viral particles and exposure to the tumor during those 30-60 minutes instillations as contrast to the intra-tumor injection, intra-arterial or intravenous injection of viral particles in other oncolytic viral trials. Some or most of these delivering methodologies have obvious intrinsic imperfections and potential toxicity. This unique opportunity of an relatively easy intravesical tumor exposure is difficult to duplicate in other solid tumor models.~The replication of CG0070 in the majority of patients during the first phase I/II trial indicated tumor lysis with release of tumor specific or tumor associated antigens that have been stably expressed, in abundant quantities during tumor cell death. Release of tumor antigens have been the key elements, together with sufficient on-site GM-CSF, in stimulating strong cross-presentation and confirmation signals to the antigen presenting cells such as dendritic cells interacting with CD4+ and CD8+ T cells. This concept of a real time vaccine like regimen is expected to compare favorably with other forms of cancer immunotherapy treatment such as BCG in this patient population.~It is with this thought that CG0070 may find a success in this setting because of a reasonably and proven complete response rate in residual and failed BCG bladder cancer patients in the first phase I/II study (some cases with only one instillation). Of importance as well, is the demonstration in the study data of a strong GM-CSF expression during its replication phase. Those patients with carcinoma in situ disease and those with RB pathway dysfunction were particularly responsive.~It is therefore, desirable to formulate a protocol to encompass the specialty of this oncolytic vaccine and the unique intravesical delivery to prove the efficacy by a randomized controlled study. This opportunity allows a study on the CG0070's beneficial effects, if any, on the standard of care for carcinoma in situ non muscle invasive bladder cancer patients after they failed BCG therapy. The prognosis of this group presently depends mainly on early radical cystectomy, which carries a high morbidity and decrease of quality of life generally viewed as unacceptable for this group of older patients.",PHASE2/PHASE3,Oncology,Other cancer,MeSH
NCT01325584,Compassionate Use of Omegaven® in the Treatment of Parenteral Nutrition Induced Hepatic Injury,Alternative product is now approved and available for use.,Other/Unclear,The purposes of this study are to make Omegaven® available to cancer patients with liver disease and to determine if Omegaven® can improve or prevent further liver disease. The study will also look at the effects Omegaven® has on immune function.,"This compassionate use study will include patients with advanced cancer requiring PN for long-term nutrition support who have developed PN-induced hepatic injury or who have existing hepatic dysfunction. Therapy with Omegaven will be provided at an initial dose of 0.1 g/kg body weight (1ml/kg) and increased to 0.2 g/kg body weight (2ml/kg) on day 2 or 3 of treatment. For patients \> 120% ideal body weight, adjusted body weight will be used. The infusion rate will not exceed 0.5mL Omegaven/kg body weight/hr (corresponding to 0.05g fish oil/kg/hr). Omegaven will be co-administered via a y-site infusion, with containers being changed every 12 hours. The patient may receive other lipids to meet Essential Fatty Acid (EFA) and/or additional calorie needs. Patients will receive the initial infusion of PN containing Omegaven at Midwestern Regional Medical Center (MRMC) in the infusion center to observe for adverse reactions. If an adverse reaction is observed, IV steroids \& benadryl will be administered \& Omegaven will be discontinued. Patients will continue to receive infusions at CTCA for the first 2 to 3 days of dosing. After tolerance is established, patients will receive treatment at home with Coram. All study patients will have a Screening Visit; Day 1, Day 2 and Day 3 visits; and weekly visits for one month (see Table 2).",PHASE2,Oncology,Other cancer,MeSH
NCT00243204,Study of Talabostat + Docetaxel Versus Docetaxel in Stage IIIB/IV Non-Small Cell Lung Cancer (NSCLC) After Failure of Platinum-Based Chemotherapy,FDA Hold May 2007,Other/Unclear,This Phase 3 study will compare the efficacy of talabostat plus docetaxel to docetaxel plus placebo in patients with Stage IIIB/IV NSCLC who have failed a platinum-based chemotherapy regimen.,,PHASE3,Pulmonology,Pulmonology disorder,MeSH
NCT00005608,Fluorouracil-Uracil and Leucovorin in Treating Women With Metastatic Breast Cancer,Drug was pulled from the market.,Other/Unclear,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.~PURPOSE: Phase II trial to study the effectiveness of fluorouracil-uracil and leucovorin in treating women who have metastatic breast cancer.,OBJECTIVES: I. Determine the objective response rate in women with metastatic breast cancer treated with fluorouracil-uracil and leucovorin calcium as first line therapy. II. Determine time to disease progression in this patient population treated with this regimen. III. Evaluate the toxicity profile of this regimen in these patients.~OUTLINE: Patients receive oral fluorouracil-uracil and oral leucovorin calcium twice daily for 28 days followed by 1 week of rest. Treatment continues for a minimum of 2 courses in the absence of unacceptable toxicity or disease progression. Patients with responding disease receive a minimum of 6 courses of treatment. Patients are followed for survival.~PROJECTED ACCRUAL: A total of 22-33 patients will be accrued for this study within 13-14 months.,PHASE2,Oncology,breast cancer,MeSH
NCT04212221,MGD013 Monotherapy and Combination With Brivanib Dose Escalation and Expansion Study in Advanced Liver Cancer Patients,Due to the rapid shifting of liver cancer disease landscape and the company's adjustment of development strategy.,Other/Unclear,"This study consists of two parts: Phase I is a dose escalation study to determine the Recommended Phase II Dose (RP2D) of MGD013 monotherapy and that of MGD013 when in combination with Brivanib Alaninate (ZL-2301) in subjects with advanced liver cancer (including hepatocellular carcinoma and intrahepatic cholangiocarcinoma). Phase II is a dose expansion study and consists of two parts: Part 1 is to assess the safety and efficacy of MGD013 monotherapy and MGD013 in combination with ZL-2301 in subjects with advanced hepatocellular carcinoma (HCC); in Part 2, a therapeutic method (MGD013 monotherapy or MGD013 in combination with ZL-2301, determined by the sponsor according to the obtained data) will be selected for dose expansion study in HCC subjects who have previously failed immune checkpoint inhibitor treatment, to further evaluate the safety and efficacy of the study treatments in the specific group of subjects.",,PHASE1/PHASE2,Oncology,Other cancer,Condition
NCT04939701,Study of ASP0739 Alone and With Pembrolizumab in Advanced Solid Tumors With NY-ESO-1 Expression Participants,"The comprehensive assessment of other studies indicated the lack of significant monotherapy activity, therefore, team decided to terminate the study.",Other/Unclear,"The purpose of this study was to evaluate the safety, and tolerability of ASP0739, when administered as a single agent and in combination with pembrolizumab.~This study also evaluated the clinical response and other measures of anticancer activity of ASP0739 when administered as a single agent and in combination with pembrolizumab based on central and local assessment.","The study comprised of 2 phases. Phase 1 (dose escalation) included participants with solid tumors known to express New York esophageal squamous cell carcinoma 1 (NY-ESO-1). Phase 2 (ASP0739 as single agent and in combination with pembrolizumab) included participants with relapsed/refractory Synovial Sarcoma (SS), myxoid/round cell liposarcoma (MRCL), and ovarian cancer who had not responded to Standard of Care (SOC) or were ineligible for standard therapy. Phase 2 single agent also included a cohort of participants with select solid tumors known to express NY-ESO-1 (melanoma, Non Small Cell Lung Cancer-adenocarcinoma \[NSCLC\], squamous cell and esophageal squamous cell carcinoma \[ESCC\]). Japanese participants were only enrolled into the monotherapy arm of the dose expansion cohort.",PHASE1/PHASE2,Oncology,Other cancer,MeSH
NCT00909363,Thrombocytopenia and Bleeding in Wiskott-Aldrich Syndrome (WAS) Patients,retirement of PI,Other/Unclear,The purpose of this project is to describe the pathophysiology of thrombocytopenia and bleeding in patients with Wiskott-Aldrich Syndrome (WAS) and determine the response to thrombopoietic agents in vitro and in vivo.,"Wiskott Aldrich Syndrome is an X-linked disease characterized by immunodeficiency, eczema and thrombocytopenia; a milder form of the disease known as X-Linked thrombocytopenia also exists. The thrombocytopenia in both WAS and XLT is characterized by: severe thrombocytopenia with platelet counts frequently less than 10-30,000/ul; small platelets which may be dysfunctional; and, as a result, a high rate of serious bleeding including intracranial hemorrhage.~Because eltrombopag has been shown to be remarkably efficacious in substantially increasing platelet counts in a high percentage of ITP patients, this study seeks to effectively treat patients who exhibit similar pathologies, as well as evaluate the state of platelets in patients with WAS and relate it to clinical bleeding. It also aims to demonstrate whether eltrombopag administered daily will enhance stem cell function, increase platelet production and platelet count, and reduce bleeding in patients with WAS.",PHASE2,Hematology,Hematology disorder,MeSH
