nct_id,brief_title,why_stopped,brief_summary,detailed_description
NCT00493025,"Paclitaxel, Cisplatin, Gefitinib, and Radiation Therapy Followed by Surgery and Gefitinib in Treating Patients With Locally Advanced Cancer of the Esophagus or Gastroesophageal Junction That Can Be Removed By Surgery",Closed due to early stopping rule-Low accrual,"RATIONALE: Drugs used in chemotherapy, such as paclitaxel and cisplatin, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Gefitinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Radiation therapy uses high-energy x-rays to kill tumor cells. Giving these treatments before surgery may make the tumor smaller and reduce the amount of normal tissue that needs to be removed. Giving gefitinib after surgery may kill any tumor cells that remain after surgery.~PURPOSE: This phase II trial is studying how well giving paclitaxel, cisplatin, gefitinib, and radiation therapy followed by surgery and gefitinib works in treating patients with locally advanced cancer of the esophagus or gastroesophageal junction that can be removed by surgery.","OBJECTIVES:~Primary~* Determine the pathologic complete response rate in patients with resectable, locally advanced adenocarcinoma of the esophagus or gastroesophageal junction treated with neoadjuvant paclitaxel, cisplatin, gefitinib, and radiotherapy followed by surgery and adjuvant gefitinib.~Secondary~* Determine the survival of patients treated with this regimen.~* Determine the safety and tolerability of this regimen in these patients.~* Determine time to disease progression in patients treated with this regimen.~* Determine the plasma pharmacokinetics of unbound gefitinib in these patients.~* Conduct exploratory studies to determine if EGFR pathway component expression and activation correlates with response to therapy and survival of these patients.~* Determine if treatment with gefitinib alters the EGFR pathway in these patients.~OUTLINE: This is a prospective study.~* Neoadjuvant therapy: Patients receive oral gefitinib beginning 14 days prior to the start of chemoradiotherapy and continuing until 7 days prior to surgery (10-12 weeks). Patients also receive paclitaxel IV over 1 hour and cisplatin IV over 2-3 hours on days 1, 8, 15, 22, and 29. Patients also undergo radiotherapy 5 days a week for 5 weeks.~* Surgery: Patients undergo surgical resection 4-6 weeks after the completion of neoadjuvant therapy.~* Adjuvant therapy: Patients receive gefitinib once a day beginning 2-8 weeks after surgery and continuing for up to 1 year in the absence of disease progression or unacceptable toxicity.~Blood samples are obtained at baseline and periodically during study for pharmacokinetic studies. Tumor tissue samples are obtained by core biopsy at baseline for biomarker correlative studies. Samples are analyzed by IHC to measure expression and activation of EGFR-signaling pathway biomarkers in pretreatment esophageal tumor tissue, including EGFR and phosphorylated (p)-EGFR, ERK and p-ERK, Akt and p-Akt, p70s6k and p-p70s6k, and p27.~After completion of study therapy, patients are followed periodically for at least 5 years."
NCT00586274,Use of Rft5-Dga to Deplete Alloreactive Cells for Pts With Fanconi Anemia After Haploidentical SCT,Poor accrual,"While stem cell transplantation has proven an effective means of treating a wide variety of diseases involving hematopoietic stem cells and their progeny, a shortage of donors has proved a major impediment to the widest application of the approach. Until recently, only MHC identical donors could be used with safety. Such donors were originally siblings or other closely related family members. Over the past decade, the growth of allogeneic donor panels has allowed transplantation with stem cells obtained from a volunteer donor panel.~While it is now possible to obtain HLA identical unrelated donor stem cells for approximately 75% of individuals of Northern European backgrounds, the situation for most other ethnic groups is much less satisfactory. Even when a matched donor can be found, the elapsed time between commencing the search and collecting the stem cells usually exceeds three months, a delay that may doom many of the neediest patients. Hence there has been considerable interest in making use of HLA haploidentical family donors. Most individuals have a first-degree relative who would be suitable for such protocols. Fanconi anemia (FA) is an autosomal recessive disorder characterized by the development of progressive aplastic anemia usually evident by about age seven years and often associated with various diverse congenital anomalies such as short stature, microcephaly, radial anomalies, horseshoe kidney, and cafe au lait spots.~This study will determine the number of donor lymphocytes that can be given to recipients of haploidentical stem cell transplants with Fanconi anemia after depletion of recipient-reactive T lymphocytes by ex-vivo treatment with a fixed dose of RFT5-dgA immunotoxin, and will result in a rate of Grade III/IV GVHD of \< / = 25%.","Patients will have received a haplo-identical stem cell transplant on our on-going study CD45 (YTH-24 and YTH-54) and CD52 (Campath 1H) Monoclonal Antibody Conditioning Regimen for Allogeneic Donor Stem Cell Transplantation of Patients with Fanconi Anemia (H-9938 IND# 7233) and will become eligible to receive allodepleted T Cells following engraftment. What follows is a summary of the treatment plan including initial transplant phase as well as generation and infusion of allodepleted T cells.~Preparative Regimen for Patients with Fanconi Anemia:~The study will be open to patients who received a haploidentical PBSCT on the MAFIA protocol and for patients who failed to engraft and receive a second haploidentical transplants with alternate conditioning consisting of ATG, Fludarabine, TBI (450cGY single dose) and Cytoxan.~In Outline MAFIA conditioning (primary conditioning regimen)~Day 8 Campath 1H 10mg iv over 4hr Fludarabine 30 mg/m2 7 Campath 1H 10mg iv over 4hr Fludarabine 30 mg/m2 6 Campath 1H 10mg iv over 4hr Fludarabine 30 mg/m2 5 YTH 24/54 400ug/kg over 6 hr Fludarabine 30 mg/m2~* 4 YTH 24/54 400ug/kg over 6 hr Fludarabine 30 mg/m2~* 3 YTH 24/54 400ug/kg over 6 hr~* 2 YTH 24/54 400ug/kg over 6 hr~* 1 Rest~* 0 CD34-selected PBSC infusion~Stem Cell Infusion: One day after the completion of pretransplant conditioning therapy (day 0), CD34+ cells will be infused through a central venous catheter as outlined in CAGT SOPs.~This study will begin with a dose of T cells known not to cause GvHD even in haploidentical recipients, even when the T cells administered have not first been allodepleted. Dose escalation will follow a traditional up and down method, but as results become available they will be used to determine subsequent dose levels by the continual reassessment method. Initially, 2 patients will be entered beginning at dose level 1. Each and every patient will receive up to three additional injections of T cells at the same dose, at monthly intervals, provided there is no evidence of grade 2 or higher GVHD, until total T cell numbers are \> 1000/ul.~Dose level -1 (1 x 10\^3 T cells/Kg); Dose level 1 (1 x 10\^4 T cells/Kg); Dose level 2 (1 x 10\^5 T cells/Kg); Dose level 3 (1 x 10\^6 T cells/Kg); Dose level 4 (5 x 10\^6 T cells/Kg)"
NCT03998033,Study of ET140202 T Cells in Adults With Advanced Hepatocellular Carcinoma,Reallocation of resources to new HCC study.,"This is a open-label, dose escalation, multi-center, Phase I / Phase II study to assess the safety of an autologous T-cell product (ET140202) in adult subjects with advanced Alpha-fetoprotein (AFP) positive/Human Leukocyte Antigen (HLA) A-2 positive Hepatocellular Carcinoma (HCC).",The purpose of this study is to investigate a genetically modified autologous T-cell therapy for advanced hepatocellular carcinoma (HCC). ET140202 T cells are autologous T cells genetically modified to carry a TCR-mimic (TCRm) construct capable of mediating cell killing by targeting tumor specific intracellular antigens and addressing solid tumor therapy challenges.
NCT02924194,Deep Brain Stimulation of the nbM to Treat Mild Cognitive Impairment in Parkinson's Disease,The study was halted prematurely due to lack of interested participants.,The purpose of this study is to evaluate the safety and effectiveness of deep brain stimulation of the nucleus basalis of Meynert (also called the nbM) at improving memory in Parkinson's disease patients with mild cognitive impairments and memory difficulties. Patients with Parkinson's disease (PD) that are eligible for Deep Brain Stimulation (DBS) therapy for improvement of their motor symptoms and with evidence of mild cognitive impairments and memory difficulties will be enrolled.,"This is a prospective, double-blind (patient and neuropsychologist), randomized, cross-over study to evaluate the safety of deep brain stimulation of the nucleus basalis of Meynert (nbM) in Parkinson's disease (PD) patients with mild cognitive impairment (PD-MCI) who are undergoing globus pallidus internus (GPi) stimulation for their motor symptoms. Six patients with PD who are eligible for GPi DBS for improvement of their motor symptoms and who have a clinical diagnosis of PD-MCI (amnestic, single or multiple domain) per Movement Disorder Society (MDS) criteria will be enrolled and implanted with bilateral electrodes in in the nbM in addition to the globus pallidus internus (GPi). Conventional stereotactic implantation of the electrodes will be guided by intraoperative computerized tomography (CT) and magnetic resonance tomography (MRT)."
NCT03534505,Post-Operative Analgesic Effects of Local Wound Infiltration With Ketorolac After Inguinal Herniorrhaphy,cannot enroll patient,"Inguinal hernia is one of the most common diseases worldwide, including Thailand. Patients who underwent treatment of inguinal hernia (herniorrhaphy) found surgical site pain.There are many procedures to relieve pain after surgery. Injection of pain killer at the surgical site is a well-known method nowadays, especially with NSAIDs; Nowadays, Ketorolac is among the most-often used drug in the research. B. Ben-David's et al. published in 1995. is the study of the effects of the Ketorolac by comparing 60 mg of Ketorolac injected intramuscularly and 30 mg injections at the surgical site in 32 patients who underwent herniorrhaphy. Observing patients after surgery, postoperative pain score at 2 and 6. After 24 hours of surgery, they found that the patients who were given Ketorolac 30 mg suffered less pain than the group of patients who had Ketorolac 60 mg with statistical significant (P\<0.05). The study by Connelly and colleagues, published in 1997, was a randomized double-blind study which compared the performance of relieving pain after surgery of surgical site injection of Ketorolac 60 mg and intravenous injection of Ketorolac 60 mg. In studies of 30 patients with herniorrhaphy surgery, the results showed within 24 hours of surgery, the group of patients with surgical site injections suffered less pain than the group of patients with intravenous injection (P\<0.02). Besides they discovered that the time to first analgesia in the group of patients with surgical site injection was longer. (P\<0.03), and the amount of analgesic requirement that the patients needed in the first 24 hours after surgery was also less in this group. (P\<0.0002). According to the research above surgical site injection of Ketorolac is effective in pain relief. Bupivacaine is the most accepted drug using local infiltratively to relieve the pain especially in patients with herniorrhaphy. Previous studies of Bupivacaine found that Bupivacaine is a very effective in pain reliever, can reduce the usage of opioids, and also can reduce the recovery time in hospital. Thus, our study is to demonstrate the effectiveness of pain relief after surgery by local infiltration of Ketorolac in a patients who undergo herniorrhaphy by dividing patients into two groups and comparing between Ketorolac and Bupivacaine injection at surgical site.","The study design is a prospective randomized, double-blind, controlled trial of patients who are undergoing elective unilateral inguinal herniorrhaphy at Ramathibodi Hospital during the period 1 July 2018 - 30 June 2020 The primary outcome is to study the effectiveness of Ketorolac injections in pain relief after herniorrhaphy surgery and the secondary outcome is to study the adverse effects and complications after injection of Ketorolac: anaphylactic shock, abnormal bleeding at surgical wound, gastrointestinal bleeding and acute kidney injury.~After approval by the ethics committee, patients scheduled for elective unilateral inguinal herniorrhaphy under general anesthesia who are eligible for inclusion criteria will be recruited for this study after informed consent by surgical residents or surgical staff at the Out Patient Department (OPD). Patients who meet the exclusion criteria will be excluded.~During a preoperative visit, the patients will be introduced to the concept of the visual analogue scale (VAS), which ranges from 0 = no pain to 10 = worst pain.~Once given general anesthesia in the operating room, the patient will be randomly selected into one of the two arms of this report's diagram (1:1 ratio) through the drawing of a sealed, opaque envelope by one of the surgical residents in charge or by the attending surgeon. All patients will undergo herniorrhaphy with Lichtenstein Tension-Free Repair technique. After abdominal sheath will be closed by Vicryl No.0, Patients who are the Ketorolac group will receive local infiltration in abdominal sheath layer with Ketorolac 30 mg in normal saline 10 ml. and patients who are the control group will receive local infiltration with 0.5% bupivacaine 10 ml. And then skin closure will be done by nylon 3-0.~A standardized plan for postoperative analgesia is prepared. All patients will receive one 500 mg tablet of oral paracetamol every 6 hours when postoperative oral intake is allowed by the attending doctor. In patients with VAS scores \>3, parenteral opioid (Morphine) is given.~The hospital volunteer nurses caring for the patients during the preoperative and postoperative course are given standard pain evaluation protocols. All study pain evaluators and patients are blinded to treatment assignments throughout the pain assessment process.~After the operation, the inpatient ward nurse will record the patients' pain scores at 4,8, and 12 hours after surgery using the VAS score and record the results in the study data recording form attached to each patient's medical record chart. Additional morphine usage data is also recorded.~All adverse effects and complications after injection of Ketorolac injection such as anaphylactic shock, abnormal bleeding at surgical wound, gastrointestinal bleeding and acute kidney injury will be recorded and treated by the attending resident or consultant doctor. All data is collected by the main investigator from the patient chart and data recording form. Data is expressed as mean ± SD. Parametric data is compared between groups. Statistical significance is set at a level of p\< 0.05."
NCT02632292,EverolimuS-ElUtinG BioresorbAble VasculaR Scaffolds vErsus EVerolimus-Eluting Stents in Patients With Diabetes Mellitus,Slow enrollment,"Prospective, randomized, controlled, multicenter, open-label study to compare everolimus-eluting bioresorbable vascular scaffolds to everolimus-eluting stents in patients with diabetes mellitus.",
NCT04376567,Outcomes for One-stage and Two-stage Brachial Basilic Arteriovenous Fistulas,The PI is leaving the institution and the trial will be not resuming.,"An arteriovenous (AV) fistula is essential for patients with kidney failure on dialysis. There is no clear data on the best method to create a new brachial basilic AV fistula (BBAVF), so the choice between a single procedure and two separate procedures is left to the surgeon. Both approaches are standard care. This study aims to compare patient-centered outcomes and quality of life by randomly assigning patients needing a BBAVF to either a one-stage or two-stage procedure.","The aim of the pilot trial is to compare the outcomes of patients with end stage kidney failure (ESKD) who are candidates for a new brachial basilic arteriovenous fistula (BBAVF). Patients will be randomized to either one-stage or two-stage BBAVF procedure, both standard of care for creating BBAVF. The main outcome will be primary clinical functional patency, defined as successful use of BBAVF over a continuous 4-week period without any need for additional procedure on the BBAVF. The secondary outcomes are fistula-related complications, duration of central venous catheter (CVC) for those on dialysis, and quality of life (QoL) measures. The study hypothesizes that the primary patency will be superior following the two-stage BBAVF procedure compare to one-stage procedure. However, CVC-related complications are expected to be higher following the two-stage procedure compared to the one-stage procedure. Patient will be followed for a minimum duration of 12-months per subject."
NCT00995501,"The Effects of Corticosteroids, Glucose Control, and Depth-of-Anesthesia on Perioperative Inflammation and Morbidity From Major Non-cardiac Surgery (Dexamethasone, Light Anesthesia and Tight Glucose Control (DeLiT Trial))","Per interim analysis, for futility.","Evidence thus suggests that steroid administration, tight glucose control, and avoidance of deep anesthesia may decrease perioperative morbidity by reducing the inflammatory response to surgery. Using a three-way factorial approach, the investigators thus propose to test the primary hypotheses that major perioperative morbidity is reduced by: 1) low-dose dexamethasone; 2) intensive perioperative glucose control; and 3) lighter anesthesia.~Secondary hypotheses include that each intervention reduces circulating concentrations of the inflammatory marker CRP, and that there is a correlation between C-reactive protein (CRP) and post-operative complications. Anesthetic sensitivity predicts major and minor complications, and delirium Other secondary hypotheses are that each intervention, reduces minor surgical complications, reduces postoperative nausea and vomiting (PONV), reduces postoperative delirium, speeds hospital discharge, improves quality of life (SF-12v2 Health Survey, Christensen's VAS fatigue score), and reduces all-cause one-year mortality.","The perioperative period is characterized by an intense inflammatory response marked by elevated concentrations of inflammatory markers like C-Reactive Protein (CRP). This response has been linked to increased perioperative morbidity and mortality. Available evidence suggests that blunting the inflammatory response to surgical trauma might improve perioperative outcomes. The putative benefits from blunting the surgical stress response are likely to be greatest in high-risk patients such as those having major non-cardiac surgery. We will study three interventions potentially modulating perioperative inflammation, corticosteroids, tight glucose control and light anesthesia and their effects on major morbidity and mortality resulting from major non-cardiac surgery.~Steroids are the most powerful routinely available anti-inflammatory drugs. They decrease perioperative concentrations of inflammatory markers and improve outcomes after cardiac and abdominal surgery.~Poorly controlled blood glucose worsens the inflammatory response to surgery. Hyperglycemia impairs wound healing, increases infection risk, increases overall hospital mortality, increases the risk of perioperative renal failure, and augments transfusion requirements. Treatment of hyperglycemia has been shown to improve outcomes and decrease mortality in cardiac patients. Also in critically ill patients, it decreased inflammatory markers, overall hospital mortality by 34%, blood stream infections by 46%, and acute renal failure by 41%.~Cumulative deep hypnotic time is associated with increased one-year all-cause mortality, possibly through aggravation of the inflammatory response to surgery. In contrast, avoidance of deep anesthesia appears to reduce postoperative CRP levels, the risk of nausea and vomiting, as well as postoperative hemodynamic, respiratory and infectious complications.~Evidence thus suggests that steroid administration, tight glucose control, and avoidance of deep anesthesia may decrease perioperative morbidity by reducing the inflammatory response to surgery. Using a three-way factorial approach, we thus propose to test the primary hypotheses that major perioperative morbidity is reduced by: 1) low-dose dexamethasone; 2) intensive perioperative glucose control; and, 3) lighter anesthesia.~Secondary hypotheses include that each intervention reduces circulating concentrations of the inflammatory marker CRP, and that there is a correlation between CRP and post-operative complications. Anesthetic sensitivity predicts major and minor complications, and delirium Other secondary hypotheses are that each intervention, reduces minor surgical complications, reduces postoperative nausea and vomiting (PONV), reduces postoperative delirium, speeds hospital discharge, improves quality of life (SF-12v2 Health Survey, Christensen's VAS fatigue score), and reduces all-cause one-year mortality."
NCT00651079,GSK1247303 First Time in Human Study,,"To determine safety, tolerability and Pharmacokinetics of GSK1247303",
NCT00473824,"Randomized Phase II Study of Hepatitis C Immune Globulin Intravenous (Human), Civacir(TM), in Liver Transplantation",New sponsor's decision to pursue a redesigned clinical study,"A Phase 2 study to evaluate safety, pharmacokinetics and efficacy of Hepatitis C Immune Globulin Intravenous (human) \[Civacir(TM)\] for preventing or reducing the impact of recurrent HCV infection following liver transplantation.","Hepatitis C virus (HCV) infection is the leading single cause of liver transplantation (LT) in the US and Europe. Recurrence of HCV infection following LT is almost universal. There is currently no effective way to prevent post-transplantation HCV infection of the liver graft and related progression of HCV-related liver disease. This study is designed to evaluate a polyclonal human hepatitis C immune globulin (Civacir) given during and post liver transplantation for preventing or reducing the impact of recurrent HCV infection.~In this open-label trial, 2 subjects will be randomized to receive Civacir (standard of care treatment plus Civacir) for every 1 Control subject (standard of care treatment alone). Civacir recipients will receive 18 intravenous infusions over 24 weeks beginning at the time of liver transplantation.~Viral loads, liver enzyme assessments and liver biopsy assessments will be made at scheduled intervals during the study which will last for 48 weeks."
NCT01104831,The Efficacy and Cost Effectiveness of Preoperative and Postoperative Cryotherapy in Proximal Tibia Fractures,Inadequate recruitment.,Consenting patients with proximal tibia fractures will be randomized to 10 degree or 21 degree cryotherapy sleeves. Time to discharge and complications will be monitored.~Primary outcome measure: Cost of Treatment (based on length of stay) Secondary outcome measures: Satisfaction/pain relief and narcotic requirement,
NCT01775670,Off-the-Shelf Splints Versus Occupational Therapy Splints for Treatment of Trapeziometacarpal Arthrosis,"Due to the principal investigator leaving the institution and slow enrollment, we have decided to close the study prior to study completion",The specific aim is to compare the effectiveness of Off-the-Shelf splints and splints provided by Occupational Therapy for treatment of trapeziometacarpal (TMC) arthrosis.,"Trapeziometacarpal (TMC) arthrosis is so common, particularly in women, that it should be considered a normal part of the aging process. Overall radiographic prevalence of TMC arthrosis has been described to be as high as 91% in patients older than eighty years of age. It increases steadily from the age of 41 years, more rapidly in women than in men. Another study, conducted in the Netherlands, showed that in a population of 55 years and older, 67% of women and 55% of men had radiographic signs of arthrosis of the hand. It also found that the distal interphalangeal (DIP) joints are most commonly affected (47%), followed by the TMC joint (36%). However, it has been reported that in symptomatic arthrosis, TMC arthrosis contributes more to pain and disability than arthrosis of the interphalangeal joints. Psychosocial factors have been recognized as the strongest determinants of highly variable pain intensity and arm-specific disability. The pathophysiologic and psychosocial differences between patients who present to the doctor for treatment and those who do not are incompletely understood.~A hand-based thumb spica splint with the interphalangeal (IP) joint free is a specific nonoperative palliative treatment for TMC arthrosis. The goals of splint wear are improved comfort and function. The data regarding specific splint materials are limited, but suggest that shorter more flexible splints are preferred by patients and equally effective. Recently, the investigators looked into if there was a difference between thermoplast and neoprene hand-based thumb spica splints for treatment of TMC arthrosis. The neoprene splint was rated more comfortable than the thermoplast splint but otherwise there was no difference.~To the investigators' knowledge no studies have looked at the added value of occupational therapy in splint treatment for TMC arthrosis. The investigators believe that the time spent by occupational therapists (OTs) coaching patients on adaptive and palliative measures is valuable in addition to their technical skills but the investigators cannot draw any conclusions until the investigators research this in a prospective trial.~The investigators propose a two arm unblinded, randomized (1:1) controlled trial to evaluate if there is a difference between prefabricated off-the-shelf splints and splints provided by an OT with standard care coaching. The investigators want to determine if there is a difference in arm-specific disability, average pain, and satisfaction at an average of 2 months between splints provided by an OT and prefabricated off-the-shelf splints."
NCT04176185,"A Research Study in Chinese People With Allergy to House Dust Mites, Using an Environmental Exposure Chamber",COVID-19,This trial evaluates the efficacy and safety of HDM SLIT-tablet in treatment of HDM AR. The efficacy is evaluated using an environmental exposure chamber (EEC). Subjects will be randomised to receive treatment with HDM SLIT-tablet and placebo 1:1.,"This trial is a 24 weeks, randomised, parallel-group, double-blind, placebo-controlled phase III trial. Approximately 202 subjects will be randomised (1:1) to receive treatment with HDM SLIT-tablet or placebo. The trial will be conducted in China, with subjects recruited and treated in China. Two EEC assessments (baseline and end of treatment) will take place at a validated EEC facility in Austria.~The primary objective is to demonstrate the efficacy of the HDM SLIT-tablet (12 SQ-HDM) once daily compared to placebo in the treatment of HDM AR nasal symptom determined during the EEC session at week 24."
NCT00823979,"A Phase 2B Multicenter, Randomized, Comparative Trial Of UK-453,061 Versus Etravirine In Combination With Darunavir/Ritonavir And A Nucleos(t)Ide Reverse Transcriptase Inhibitor For The Treatment Of Antiretroviral Experienced HIV-1 Infected Subjects With Evidence Of NNRTI Resistant HIV-1",See termination reason in detailed description.,"This is a 96 week study to determine if UK- 453,061 in combination with Darunavir /ritonavir and a Nucleos(t)ide Reverse Transcriptase inhibitor is as efficacious, safe and tolerable as etravirine in combination with Darunavir /ritonavir and a Nucleos(t)ide Reverse Transcriptase inhibitor in HIV-1 infected patients who have been previously treated with antiretroviral drugs and have NNRTI resistance mutations.","The trial was terminated on 12 April, 2012 due to lack of efficacy at the Week 24 analysis. The decision to terminate the trial was not based on any safety concerns."
NCT04690855,"A Study to Evaluate TAlazoparib, Radiotherapy and Atezolizumab in gBRCA 1/2 Negative Patients With PD-L1+ Metastatic Triple Negative Breast Cancer",This study has been terminated due to Lack of Accrual.,"This is a Phase II study designed to assess efficacy and safety of talazoparib, high dose radiation, and atezolizumab in patients with metastatic TNBC that is PD-L1 positive. A total of 23 gBRCA pathogenic variant negative patients will be enrolled. All patients will be treated with induction talazoparib of 1mg PO daily starting Day 1. Patients will then receive 8 Gy x 3 fractions to 2-4 metastatic lesions beginning Day 12,13, or 14 and given QOD. 840 mg of atezolizumab will be given intravenously (IV) on Day 15 of the 1st cycle and then on Day 1 and Day 15 of the remaining cycles. The sequence of administration is not specified on the days in which talazoparib and atezolizumab are given on the same day. Each cycle equals 28 days. Treatment will continue until progression or severe toxicity.~A safety lead in of up to 6 patients will be performed. Immune-related and non-immune related adverse events will be tracked up to 12 weeks post initiation of atezolizumab, as the majority of treatment-related toxicities from talazoparib, radiation, and atezolizumab occur within this time period.",
NCT04652752,Clinical Investigation to Evaluate the Safety and Efficacy of Dressing CONNETTIVINA HI TECH in the Management of Superficial Cutaneous Lesions,Enrollment Difficulties,"This is an open, single arm, prospective clinical investigation to evaluate the performance of CONNETTIVINA HI TECH, in terms of safety and efficacy in the management of superficial cutaneous lesions. The study will be conducted in one center, in Italy and will enroll 50 subjects . Subjects will be followed until confirmation of complete wound closure, and for a maximum of 26 days, with a follow up of 4 days after re-epithelization will be confirmed.",
NCT00396214,Compare the Effects of Bifeprunox and Quetiapine on Weight Changes in Stable Schizophrenic Patients,This trial discontinued on 2 May 2008 due to lack of enrolment,The primary objective of the study is to evaluate changes in weight short and long term with bifeprunox and quetiapine. Study participation for the subject is 57 weeks.,
NCT01511666,Hyperinvasive Approach in Cardiac Arrest,DSMB recommendation to stop,"Prague out-of Hospital Cardiac Arrest (OHCA) study is a prospective randomized multicenter clinical study comparing use of prehospital intraarrest hypothermia, mechanical chest compression device, extracorporeal life support (ECLS) and early invasive investigation and treatment (coronary angiography/percutaneous coronary intervention \[PCI\]; pulmonary angiography/percutaneous embolectomy; aortography) in all patients with OHCA of presumed cardiac origin compared to standard of care. It is hypothesized, that above stated hyperinvasive approach might improve outcome of out-of hospital cardiac arrest victims.","Background: Out of hospital cardiac arrest (OHCA) has a poor outcome. Recent non-randomized study of ECLS (extracorporeal life support) in OHCA suggested further prospective multicenter studies to define population with OHCA that would benefit from ECLS.~Aim: to perform a prospective randomized multicenter clinical study comparing use of prehospital intraarrest hypothermia, mechanical chest compression device, ECLS and early invasive investigation and treatment (coronary angiography/percutaneous coronary intervention \[PCI\]; pulmonary angiography/percutaneous embolectomy; aortography) in all patients with OHCA of presumed cardiac origin compared to standard of care.~Planned intervention: patients with witnessed OHCA without ROSC (return of spontaneous circulation) after a minimum of 5 minutes of ACLS by emergency medical service (EMS) team will be after fulfilling of inclusion/exclusion criteria for the study randomized in a 1:1 design to standard vs. hyperinvasive arm. Patients in standard arm will be further managed as per recent guidelines. In hyperinvasive arm, mechanical compression device together with intranasal cooling will be immediately instituted and patients will be transferred to cardiac center directly to cathlab under ongoing CPR. After admission to cathlab, overall status, ROSC and ECLS inclusion/exclusion criteria will be evaluated and in case of no contraindications to ECLS and no ROSC or ROSC with shock, veno-arterial ECLS will be started as soon as possible, not later than 60 minutes after cardiac arrest onset. After ECLS institution, mild hypothermia will be continued by means of ECLS cooling and immediate invasive investigation will be performed in all patients.~Standard postresuscitation care will follow."
NCT04795713,Study of MT-6402 in Subjects With Advanced Solid Cancer That Expresses PD-L1,Terminated by Sponsor,"This will be a Phase 1 Open-label, dose escalation and expansion study of MT-6402 (an Engineered Toxin Body (ETB)) in subjects with advanced solid cancer that expresses PD-L1","This study will be conducted in two sequential parts:~* Part 1 (Dose Escalation): The purpose of Part 1 is to evaluate the safety and tolerability of MT-6402 in subjects with advanced cancer (solid tumors) and to estimate the maximum tolerated dose (MTD)~* Part 2 (Dose Expansion): The purpose of Part 2 is to confirm the recommended Phase 2 dose (RP2D) and to evaluate the efficacy of MT-6402 in subjects with advanced cancer. Part 2 will include subjects with PD-L1 positive non-small cell lung cancer (NSCLC) who received prior PD-1/PD-L1 treatment, subjects with PD-L1 positive squamous cell cancer of the head and neck (SCCHN) who are refractory to or ineligible for platinum-based therapy and received prior PD-1/PD-L1 treatment and subjects with any other relapsed or refractory PD-L1 positive solid tumor who received PD-1/PD-L1 treatment.~Up to 138 eligible subjects will be identified and treated through competitive enrollment at multiple study centers~In Parts 1 and 2, a subject may participate for the following four (4) periods:~* Screening Period - up to 28 days before first dose of MT-6402~* Treatment Period - active period where a subject will receive doses of MT-6402 over a 28-day treatment period~* Short-term Follow-up Period - up to 90 days after last dose of MT-6402~* Long-term follow-up Period - up to 24 months after last dose of MT-6402~MT-6402 will be given as an intravenous (IV) infusion over 30 minutes on the same day every week (i.e., days 1, 8, 15 and 22) of each cycle. A cycle is defined as 28 days. A subject can continue receiving MT-6402 as long as it is well-tolerated or until the subject decides they no longer want to participate in the study."
